python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'400'_'4'_'16.pt --cuda --model GRU --epochs 10 --emsize 400 --nlayers 4 --bptt 16

| epoch   6 |   400/ 6526 batches | lr 5.00 | ms/batch 37.57 | loss  8.02 | ppl  3040.68
| epoch   6 |   600/ 6526 batches | lr 5.00 | ms/batch 37.58 | loss  8.04 | ppl  3102.49
| epoch   6 |   800/ 6526 batches | lr 5.00 | ms/batch 37.58 | loss  8.10 | ppl  3300.50
| epoch   6 |  1000/ 6526 batches | lr 5.00 | ms/batch 37.57 | loss  8.05 | ppl  3139.07
| epoch   6 |  1200/ 6526 batches | lr 5.00 | ms/batch 37.58 | loss  8.12 | ppl  3377.68
| epoch   6 |  1400/ 6526 batches | lr 5.00 | ms/batch 37.58 | loss  8.07 | ppl  3197.82
| epoch   6 |  1600/ 6526 batches | lr 5.00 | ms/batch 37.68 | loss  8.06 | ppl  3156.32
| epoch   6 |  1800/ 6526 batches | lr 5.00 | ms/batch 37.59 | loss  8.13 | ppl  3402.90
| epoch   6 |  2000/ 6526 batches | lr 5.00 | ms/batch 37.58 | loss  8.10 | ppl  3303.92
| epoch   6 |  2200/ 6526 batches | lr 5.00 | ms/batch 37.58 | loss  8.08 | ppl  3223.54
| epoch   6 |  2400/ 6526 batches | lr 5.00 | ms/batch 37.59 | loss  8.04 | ppl  3093.13
| epoch   6 |  2600/ 6526 batches | lr 5.00 | ms/batch 37.61 | loss  8.09 | ppl  3249.94
| epoch   6 |  2800/ 6526 batches | lr 5.00 | ms/batch 37.58 | loss  8.04 | ppl  3088.62
| epoch   6 |  3000/ 6526 batches | lr 5.00 | ms/batch 37.54 | loss  8.10 | ppl  3282.95
| epoch   6 |  3200/ 6526 batches | lr 5.00 | ms/batch 37.54 | loss  8.08 | ppl  3241.15
| epoch   6 |  3400/ 6526 batches | lr 5.00 | ms/batch 37.54 | loss  8.11 | ppl  3338.02
| epoch   6 |  3600/ 6526 batches | lr 5.00 | ms/batch 37.53 | loss  8.07 | ppl  3181.76
| epoch   6 |  3800/ 6526 batches | lr 5.00 | ms/batch 37.53 | loss  8.03 | ppl  3062.61
| epoch   6 |  4000/ 6526 batches | lr 5.00 | ms/batch 37.53 | loss  8.08 | ppl  3223.56
| epoch   6 |  4200/ 6526 batches | lr 5.00 | ms/batch 37.51 | loss  8.03 | ppl  3069.95
| epoch   6 |  4400/ 6526 batches | lr 5.00 | ms/batch 37.52 | loss  8.11 | ppl  3331.69
| epoch   6 |  4600/ 6526 batches | lr 5.00 | ms/batch 37.52 | loss  8.11 | ppl  3322.22
| epoch   6 |  4800/ 6526 batches | lr 5.00 | ms/batch 37.51 | loss  8.03 | ppl  3061.43
| epoch   6 |  5000/ 6526 batches | lr 5.00 | ms/batch 37.52 | loss  8.03 | ppl  3056.48
| epoch   6 |  5200/ 6526 batches | lr 5.00 | ms/batch 37.52 | loss  8.08 | ppl  3236.84
| epoch   6 |  5400/ 6526 batches | lr 5.00 | ms/batch 37.52 | loss  8.11 | ppl  3343.85
| epoch   6 |  5600/ 6526 batches | lr 5.00 | ms/batch 37.51 | loss  8.12 | ppl  3360.16
| epoch   6 |  5800/ 6526 batches | lr 5.00 | ms/batch 37.52 | loss  8.06 | ppl  3171.64
| epoch   6 |  6000/ 6526 batches | lr 5.00 | ms/batch 37.52 | loss  8.10 | ppl  3291.27
| epoch   6 |  6200/ 6526 batches | lr 5.00 | ms/batch 37.50 | loss  8.06 | ppl  3179.00
| epoch   6 |  6400/ 6526 batches | lr 5.00 | ms/batch 37.52 | loss  8.10 | ppl  3299.44
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 253.25s | valid loss  7.88 | valid ppl  2654.65
-----------------------------------------------------------------------------------------
| epoch   7 |   200/ 6526 batches | lr 1.25 | ms/batch 37.73 | loss  7.13 | ppl  1243.14
| epoch   7 |   400/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.11 | ppl  1227.89
| epoch   7 |   600/ 6526 batches | lr 1.25 | ms/batch 37.55 | loss  7.12 | ppl  1237.44
| epoch   7 |   800/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.12 | ppl  1235.44
| epoch   7 |  1000/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.11 | ppl  1222.42
| epoch   7 |  1200/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.11 | ppl  1229.06
| epoch   7 |  1400/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.09 | ppl  1203.11
| epoch   7 |  1600/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.11 | ppl  1228.83
| epoch   7 |  1800/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.12 | ppl  1235.89
| epoch   7 |  2000/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.12 | ppl  1234.76
| epoch   7 |  2200/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.14 | ppl  1264.70
| epoch   7 |  2400/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.13 | ppl  1244.83
| epoch   7 |  2600/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.15 | ppl  1269.58
| epoch   7 |  2800/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.12 | ppl  1234.26
| epoch   7 |  3000/ 6526 batches | lr 1.25 | ms/batch 37.64 | loss  7.11 | ppl  1221.33
| epoch   7 |  3200/ 6526 batches | lr 1.25 | ms/batch 37.55 | loss  7.11 | ppl  1226.98
| epoch   7 |  3400/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.14 | ppl  1255.26
| epoch   7 |  3600/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.12 | ppl  1231.34
| epoch   7 |  3800/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.10 | ppl  1217.68
| epoch   7 |  4000/ 6526 batches | lr 1.25 | ms/batch 37.58 | loss  7.10 | ppl  1205.99
| epoch   7 |  4200/ 6526 batches | lr 1.25 | ms/batch 37.57 | loss  7.11 | ppl  1229.48
| epoch   7 |  4400/ 6526 batches | lr 1.25 | ms/batch 37.55 | loss  7.11 | ppl  1224.57
| epoch   7 |  4600/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.16 | ppl  1280.66
| epoch   7 |  4800/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.11 | ppl  1221.00
| epoch   7 |  5000/ 6526 batches | lr 1.25 | ms/batch 37.51 | loss  7.07 | ppl  1174.07
| epoch   7 |  5200/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.11 | ppl  1218.88
| epoch   7 |  5400/ 6526 batches | lr 1.25 | ms/batch 37.53 | loss  7.11 | ppl  1230.15
| epoch   7 |  5600/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.11 | ppl  1221.81
| epoch   7 |  5800/ 6526 batches | lr 1.25 | ms/batch 37.55 | loss  7.08 | ppl  1187.71
| epoch   7 |  6000/ 6526 batches | lr 1.25 | ms/batch 37.52 | loss  7.07 | ppl  1179.48
| epoch   7 |  6200/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.08 | ppl  1183.44
| epoch   7 |  6400/ 6526 batches | lr 1.25 | ms/batch 37.54 | loss  7.05 | ppl  1154.65
-----------------------------------------------------------------------------------------
| end of epoch   7 | time: 253.21s | valid loss  7.01 | valid ppl  1102.58
-----------------------------------------------------------------------------------------
| epoch   8 |   200/ 6526 batches | lr 1.25 | ms/batch 37.76 | loss  7.09 | ppl  1197.62
| epoch   8 |   400/ 6526 batches | lr 1.25 | ms/batch 37.55 | loss  7.08 | ppl  1191.09
